Key,en,hi,ar,es,fr
Booking data not found!,Booking data not found!,बुकिंग डेटा नहीं मिला!,لم يتم العثور على بيانات الحجز!,¡No se encontraron datos de reserva!,Données de réservation introuvables !
Booking list not found!,Booking list not found!,बुकिंग सूची नहीं मिली!,لم يتم العثور على قائمة الحجز!,¡Lista de reservas no encontrada!,Liste de réservation introuvable !
User doesn't exists!,User doesn't exists!,उपयोगकर्ता मौजूद नहीं है!,المستخدم غير موجود!,¡El usuario no existe!,L'utilisateur n'existe pas !
Credentials didn't match,Credentials didn't match,क्रेडेंशियल मेल नहीं खाते,بيانات الاعتماد غير متطابقة,Las credenciales no coincidieron,Les informations d'identification ne correspondent pas
Language Switch to,Language Switch to,भाषा पर स्विच करें,تبديل اللغة إلى,Idioma Cambiar a,Langue Passer à
Category Already Exists!,Category Already Exists!,श्रेणी पहले से मौजूद है!,الفئة موجودة بالفعل!,¡La categoría ya existe!,La catégorie existe déjà !
Category deleted successfully!,Category deleted successfully!,श्रेणी सफलतापूर्वक हटा दी गई!,تم حذف الفئة بنجاح!,¡Categoría eliminada exitosamente!,Catégorie supprimée avec succès !
Announcement delete successfully!,Announcement delete successfully!,घोषणा सफलतापूर्वक हटा दी गई!,تم حذف الإعلان بنجاح!,¡Anuncio eliminado exitosamente!,Annonce supprimée avec succès !
Section item added successfully!,Section item added successfully!,अनुभाग आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر القسم بنجاح!,¡El artículo de la sección se agregó correctamente!,Élément de section ajouté avec succès !
Pick-up Date & Time,Pick-up Date & Time,पिक-अप दिनांक और समय,تاريخ ووقت الاستلام,Fecha y hora de recogida,Date et heure de prise en charge
Mail From Address,Mail From Address,मेल पते से,البريد من العنوان,Correo desde la dirección,Adresse du courrier depuis
Round Trip,Round Trip,राउंड ट्रिप,رحلة ذهابا وإيابا,Ida y vuelta,Aller-retour
Round Trip Date & Time,Round Trip Date & Time,राउंड ट्रिप की तारीख और समय,تاريخ ووقت الرحلة ذهابًا وإيابًا,Fecha y hora del viaje de ida y vuelta,Date et heure du voyage aller-retour
Trip Id,Trip Id,यात्रा आईडी,معرف الرحلة,ID de viaje,Identifiant du voyage
Add Fare,Add Fare,किराया जोड़ें,أضف الأجرة,Agregar tarifa,Ajouter un tarif
/KM,/KM,/ किमी,/ كم,/KM,/KM
Payable Amount,Payable Amount,देय राशि,المبلغ المستحق,Monto a pagar,Montant à payer
Fare Added Successfully!,Fare Added Successfully!,किराया सफलतापूर्वक जोड़ा गया!,تمت إضافة الأجرة بنجاح!,¡Tarifa agregada exitosamente!,Tarif ajouté avec succès !
Yes,Yes,हाँ,نعم,Sí,Oui
No,No,नहीं,لا,No,Non
About Us,About Us,हमारे बारे में,معلومات عنا,Sobre nosotros,À propos de nous
Blog ,Blog,ब्लॉग,مدونة,Blog,Blogue
Mail Verification,Mail Verification,मेल सत्यापन,التحقق من البريد,Verificación de correo,Vérification du courrier
Booking,Booking,बुकिंग,الحجز,Reserva,Réservation
OTP Verification,OTP Verification,ओटीपी सत्यापन,التحقق من OTP,Verificación OTP,Vérification OTP
Verify User,Verify User,उपयोगकर्ता सत्यापित करें,التحقق من المستخدم,Verificar usuario,Vérifier l'utilisateur
| User Profile,| User Profile,| उपयोगकर्ता रूपरेखा,| ملف تعريف المستخدم,| Perfil de usuario,| Profil utilisateur
| User History,| User History,| उपयोगकर्ता इतिहास,| تاريخ المستخدم,| Historial de usuario,| Historique de l'utilisateur
Total Distance,Total Distance,कुल दूरी,المسافة الإجمالية,Distancia Total,Distance totale
KM,KM,किमी,كم,km,KM
User Information,User Information,यूजर जानकारी,معلومات المستخدم,Información del usuario,Informations utilisateur
Footer Text (For getting dynamic date you can use {date} variable.),Footer Text (For getting dynamic date you can use {date} variable.),फ़ूटर टेक्स्ट (डायनामिक दिनांक प्राप्त करने के लिए आप {दिनांक} वेरिएबल का उपयोग कर सकते हैं।),نص التذييل (للحصول على تاريخ ديناميكي، يمكنك استخدام المتغير {date}.),"Texto de pie de página (para obtener una fecha dinámica, puede utilizar la variable {fecha}.)","Texte de pied de page (Pour obtenir une date dynamique, vous pouvez utiliser la variable {date}.)"
"Ex: Copyright © {date}, All Right Reserved Rentify","Ex: Copyright © {date}, All Right Reserved Rentify","उदाहरण: कॉपीराइट © {तिथि}, सर्वाधिकार सुरक्षित किराया",على سبيل المثال: حقوق الطبع والنشر © {date}، جميع الحقوق محفوظة لـ Rentify,"Ej: Copyright © {fecha}, Todos los derechos reservados Rentify","Ex : Copyright © {date}, Tous droits réservés Rentify"
appLDeleteProfile,Delete Profile,प्रोफ़ाइल हटाएं,حذف الملف الشخصي,Eliminar perfil,Supprimer le profil
appLDeleteLog,Do you want to delete?,क्या आप हटाना चाहते हैं?,هل تريد الحذف؟,¿Quieres eliminar?,Voulez-vous supprimer ?
Setup SEO,Setup SEO,एसईओ सेटअप करें,إعداد كبار المسئولين الاقتصاديين,Configurar SEO,Configurer le référencement
System Maintenance,System Maintenance,प्रणाली रखरखाव,صيانة النظام,Mantenimiento del sistema,Entretien du système
Are you sure to delete this item?,Are you sure to delete this item?,क्या आप निश्चित रूप से इस आइटम को हटाना चाहते हैं?,هل أنت متأكد من حذف هذا العنصر؟,¿Estás seguro de eliminar este elemento?,Êtes-vous sûr de supprimer cet élément ?
Enhancing Your Experience – Site Under Maintenance,Enhancing Your Experience – Site Under Maintenance,आपके अनुभव को बढ़ाना - साइट रखरखाव के अधीन है,تعزيز تجربتك – الموقع تحت الصيانة,Mejorando su experiencia – Sitio en mantenimiento,Améliorer votre expérience – Site en maintenance
"Our website is down for upgrades and will be back shortly. If you need assistance, please email us at support@rentify.com or message us on WhatsApp at +1234567890. Thank you for your patience!","Our website is down for upgrades and will be back shortly. If you need assistance, please email us at support@rentify.com or message us on WhatsApp at +1234567890. Thank you for your patience!","हमारी वेबसाइट अपग्रेड के लिए बंद है और शीघ्र ही वापस आ जाएगी। यदि आपको सहायता की आवश्यकता है, तो कृपया हमें support@rentify.com पर ईमेल करें या हमें +1234567890 पर व्हाट्सएप पर संदेश भेजें। आपके धैर्य के लिए धन्यवाद!",موقعنا معطل بسبب الترقيات وسيعود قريبًا. إذا كنت بحاجة إلى المساعدة، يرجى مراسلتنا عبر البريد الإلكتروني على support@rentify.com أو مراسلتنا على WhatsApp على +1234567890. شكرا لك على صبركم!,"Nuestro sitio web está inactivo por actualizaciones y volverá en breve. Si necesita ayuda, envíenos un correo electrónico a support@rentify.com o envíenos un mensaje por WhatsApp al +1234567890. ¡Gracias por tu paciencia!","Notre site Web est en cours de mise à jour et sera de retour sous peu. Si vous avez besoin d'aide, veuillez nous envoyer un e-mail à support@rentify.com ou nous envoyer un message sur WhatsApp au +1234567890. Merci pour votre patience !"
appLRestart,Restart,पुनः आरंभ करें,إعادة تشغيل,Reanudar,Redémarrage
Thumbnail Image,Thumbnail Image,थंबनेल छवि,صورة مصغرة,Imagen en miniatura,Image miniature
Social Title,Social Title,सामाजिक शीर्षक,العنوان الاجتماعي,Título social,Titre social
Social Description,Social Description,सामाजिक विवरण,الوصف الاجتماعي,Descripción social,Description sociale
SEO information updated successfully!,SEO information updated successfully!,एसईओ जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات تحسين محركات البحث (SEO) بنجاح!,¡Información SEO actualizada con éxito!,Informations SEO mises à jour avec succès !
